member_id,total_transactions,unique_items,transaction_days,avg_items_per_transaction,anomaly_vote,anomaly_weighted,anomaly_score
2865,8,8,3,2.6666666666666665,0,0,0.08515908870788731
2958,10,10,5,2.0,0,0,0.13974711643661866
2448,17,13,6,2.8333333333333335,0,0,0.4069622839367916
1222,4,4,2,2.0,0,0,0.13749889693402084
2943,8,8,4,2.0,0,0,0.11905181962998128
3812,20,15,8,2.5,0,0,0.3743457038499162
1482,20,16,6,3.3333333333333335,0,0,0.2555858500221103
4720,13,12,6,2.1666666666666665,0,0,0.1210232809948132
1344,6,5,2,3.0,0,0,0.39815153130117303
2397,6,5,2,3.0,0,0,0.2311127723261339
4182,14,12,6,2.3333333333333335,0,0,0.12591923227448268
4487,19,16,7,2.7142857142857144,0,0,0.23148338223642062
3467,13,9,6,2.1666666666666665,0,0,0.30148094207892073
2443,21,15,7,3.0,0,0,0.2795288538931529
2749,7,7,3,2.3333333333333335,0,0,0.10053944644740909
1674,12,12,4,3.0,0,0,0.15667462244673228
4262,17,13,7,2.4285714285714284,0,0,0.17608762265039754
2082,10,10,4,2.5,0,0,0.08108779495102335
4494,21,16,9,2.3333333333333335,0,0,0.36164432443709543
2460,9,9,4,2.25,0,0,0.19499942301737208
4509,20,19,6,3.3333333333333335,0,0,0.33922797905151486
2267,15,12,6,2.5,0,0,0.1475626763500628
4891,13,10,5,2.6,0,0,0.0700516953125054
4964,4,4,2,2.0,0,0,0.13212397214470045
2914,9,9,4,2.25,0,0,0.09457654827937495
2808,6,6,3,2.0,0,0,0.14421875710045842
1085,7,7,3,2.3333333333333335,0,0,0.16622366330597887
3808,10,7,5,2.0,1,1,0.5400361675079893
4149,9,9,4,2.25,0,0,0.11392274623152084
2331,13,12,6,2.1666666666666665,0,0,0.1647233093102549
4475,5,5,2,2.5,0,0,0.17156996777669306
2761,15,12,6,2.5,0,0,0.11017124131365648
2620,8,8,4,2.0,0,0,0.13413398629439877
3206,12,12,6,2.0,0,0,0.22811515362400878
1226,10,10,2,5.0,1,1,0.5578055724170595
1395,23,20,8,2.875,0,0,0.4381151970430559
2465,11,11,2,5.5,1,1,0.7571957112136677
3572,4,3,2,2.0,0,0,0.2970787624620082
4387,17,16,8,2.125,0,0,0.30790015628033435
1555,2,2,1,2.0,0,0,0.2211173225478523
1181,8,8,3,2.6666666666666665,0,0,0.11109247734082466
2814,17,14,7,2.4285714285714284,0,0,0.21620156053329279
2912,11,11,5,2.2,0,0,0.3115523178070398
4667,17,14,8,2.125,0,0,0.3165305028667853
2235,13,13,6,2.1666666666666665,0,0,0.21597026539967676
2353,9,6,4,2.25,1,1,0.6240632872436936
3449,8,7,3,2.6666666666666665,0,0,0.37021247096428694
1058,8,6,4,2.0,0,0,0.1680142789777059
1027,9,8,4,2.25,0,0,0.06340530007838785
3302,6,5,3,2.0,0,0,0.16469226991491195
2229,22,18,8,2.75,0,0,0.39331617733114443
2188,10,9,4,2.5,0,0,0.06444712350612801
1547,7,6,3,2.3333333333333335,0,0,0.17352522620335875
1649,18,15,7,2.5714285714285716,0,0,0.16801313250441793
3254,10,10,4,2.5,0,0,0.10595842102689056
2818,6,5,3,2.0,0,0,0.34895423756232874
2703,9,8,4,2.25,0,0,0.09975020609019403
3332,5,5,2,2.5,0,0,0.3051523253463507
2473,6,6,2,3.0,0,0,0.16574455846406327
1033,12,11,5,2.4,0,0,0.05040930322523809
4222,13,12,4,3.25,0,0,0.1321641125994366
3679,21,14,6,3.5,0,0,0.485369392241451
2212,12,12,5,2.4,0,0,0.12925877337964234
1507,16,16,5,3.2,0,0,0.3345213263661299
2870,13,11,5,2.6,0,0,0.061749079544884206
3429,18,16,6,3.0,0,0,0.20139445196332914
4148,12,11,5,2.4,0,0,0.08840306579522443
2970,7,6,2,3.5,0,0,0.316074656434842
2013,7,7,3,2.3333333333333335,0,0,0.1638740581434367
3967,16,14,7,2.2857142857142856,0,0,0.16765616399616126
2885,14,13,5,2.8,0,0,0.07623682651177244
3935,8,7,3,2.6666666666666665,0,0,0.15571659796915016
3283,9,8,4,2.25,0,0,0.06874569048036971
3268,16,15,7,2.2857142857142856,0,0,0.19290565638673618
3677,13,13,5,2.6,0,0,0.27719660726796785
3495,22,18,8,2.75,0,0,0.35846723612068887
1410,27,24,10,2.7,1,1,0.6404888881551948
2440,25,21,9,2.7777777777777777,0,1,0.5065487706445114
4088,10,10,4,2.5,0,0,0.12830377899564605
2469,13,11,4,3.25,0,0,0.1167804530016523
4229,8,8,3,2.6666666666666665,0,0,0.08855712425438501
2728,5,4,2,2.5,0,0,0.45946246402141755
4694,20,17,8,2.5,0,0,0.26465771620454825
2836,12,10,5,2.4,0,0,0.05935501286043569
1311,8,7,3,2.6666666666666665,0,0,0.11617193148436711
1760,8,8,3,2.6666666666666665,0,0,0.08989354210103535
3656,9,9,3,3.0,0,0,0.12363995034532689
3720,8,8,3,2.6666666666666665,0,0,0.15696249183761946
2996,14,14,6,2.3333333333333335,0,0,0.20542107129534423
1949,15,13,6,2.5,0,0,0.15038328617105054
4498,11,10,5,2.2,0,0,0.08933773816620244
2447,21,18,7,3.0,0,0,0.27208621840845537
1952,10,9,2,5.0,0,0,0.4681647139097511
4099,5,5,2,2.5,0,0,0.10972879080584419
1804,9,8,3,3.0,0,0,0.12053065670266692
1510,18,15,7,2.5714285714285716,0,0,0.22477132997969318
2879,13,13,5,2.6,0,0,0.1555193685853963
4899,10,8,4,2.5,0,0,0.06393375146480235
4326,12,12,5,2.4,0,0,0.15447356018402014
1670,9,9,3,3.0,0,0,0.2282362521554213
1117,3,3,1,3.0,0,0,0.4224582585244345
1346,7,7,3,2.3333333333333335,0,0,0.0790994232059322
1178,11,11,4,2.75,0,0,0.2807512349511098
4651,8,7,3,2.6666666666666665,0,0,0.19311227382524
4243,16,15,6,2.6666666666666665,0,0,0.1337387468623858
4429,3,3,1,3.0,0,0,0.2897912524781035
4645,20,18,8,2.5,0,0,0.34411837420394664
4019,17,17,8,2.125,0,0,0.4349074844048861
4459,12,12,5,2.4,0,0,0.14955105342573538
3006,7,7,3,2.3333333333333335,0,0,0.2928909000498467
1834,7,7,3,2.3333333333333335,0,0,0.11770726167865142
3236,10,10,4,2.5,0,0,0.0818058737072873
1765,8,8,3,2.6666666666666665,0,0,0.09753363389183183
3855,18,18,8,2.25,0,0,0.4372786163991218
4392,13,11,5,2.6,0,0,0.2208576023588985
3330,5,5,2,2.5,0,0,0.21841928675997915
1723,10,9,4,2.5,0,0,0.06262749319647186
4110,16,15,6,2.6666666666666665,0,0,0.18745410717588717
2600,19,16,7,2.7142857142857144,0,0,0.19968858132122394
2946,18,18,8,2.25,0,0,0.46211265436050436
4170,15,15,5,3.0,0,0,0.3128945310912811
1109,12,10,5,2.4,0,0,0.07554734497957731
2055,17,13,7,2.4285714285714284,0,0,0.2518428744591614
2480,13,11,5,2.6,0,0,0.1440141859925311
2441,15,14,6,2.5,0,0,0.23225605618972636
1054,9,9,4,2.25,0,0,0.1519141493537395
4818,8,8,3,2.6666666666666665,0,0,0.08650550368784989
3379,5,5,2,2.5,0,0,0.13843571390349813
3939,5,5,2,2.5,0,0,0.11776413356306492
1367,5,5,2,2.5,0,0,0.3212323286495807
1043,8,7,3,2.6666666666666665,0,0,0.0771813063687078
2231,15,14,6,2.5,0,0,0.1929639006854381
3235,7,7,3,2.3333333333333335,0,0,0.04729809081895527
3245,18,16,5,3.6,0,0,0.35551929480998606
4186,3,3,1,3.0,0,0,0.4224582585244345
3929,9,8,4,2.25,0,0,0.17567550522802858
3760,15,13,5,3.0,0,0,0.10475085488060616
4928,3,3,1,3.0,0,0,0.2897912524781035
4217,25,21,10,2.5,1,1,0.5456834621877467
1174,11,11,5,2.2,0,0,0.19650215252006673
4103,9,8,4,2.25,0,0,0.06160918096633461
4408,9,9,4,2.25,0,0,0.06935687609332856
2588,5,4,2,2.5,1,1,0.6120878634810665
2598,3,3,1,3.0,0,0,0.2897912524781035
1518,7,7,3,2.3333333333333335,0,0,0.06794256368567132
2702,9,7,4,2.25,0,0,0.1432486479960475
1001,12,9,5,2.4,0,0,0.07749186670435142
2838,7,7,3,2.3333333333333335,0,0,0.1263899575969459
1683,5,5,2,2.5,0,0,0.11326098673392636
4040,11,10,4,2.75,0,0,0.11060080032920587
3897,13,13,5,2.6,0,0,0.24982186224136294
2200,10,10,3,3.3333333333333335,0,0,0.2950696317633674
4073,14,11,5,2.8,0,0,0.09170592893320027
3700,3,3,1,3.0,0,0,0.4224582585244345
3973,16,14,6,2.6666666666666665,0,0,0.11851318744599348
2715,15,13,6,2.5,0,0,0.08904280282811998
4002,14,13,6,2.3333333333333335,0,0,0.12853518900666883
2962,9,9,4,2.25,0,0,0.22744539601366678
4340,13,13,6,2.1666666666666665,0,0,0.2182223701130541
2092,17,14,5,3.4,0,0,0.2697643759954667
3143,6,6,2,3.0,0,0,0.1654197817698931
2209,14,12,5,2.8,0,0,0.08081299093225885
2816,24,20,8,3.0,0,0,0.42875110922473764
2659,16,12,5,3.2,0,0,0.18537402785042065
1588,8,8,3,2.6666666666666665,0,0,0.05235010391183489
1144,16,13,7,2.2857142857142856,0,0,0.22004019274630962
2166,15,14,6,2.5,0,0,0.1127162169353224
3300,11,9,4,2.75,0,0,0.05067335446227892
3944,3,3,1,3.0,0,0,0.4224582585244345
4979,7,7,3,2.3333333333333335,0,0,0.08471400919454958
2630,7,7,3,2.3333333333333335,0,0,0.1328227184820449
4240,15,13,5,3.0,0,0,0.1683210654221261
2357,20,17,7,2.857142857142857,0,0,0.25597050540895655
1743,14,13,4,3.5,0,0,0.18414578928241612
1643,4,4,2,2.0,0,0,0.25328859348765026
1291,12,9,4,3.0,0,0,0.3163326792288103
3675,11,10,5,2.2,0,0,0.1709825454842575
4134,14,13,6,2.3333333333333335,0,0,0.10784631856419452
1363,13,9,5,2.6,1,1,0.604506385086839
4212,11,10,5,2.2,0,0,0.12343976469469797
1500,16,15,6,2.6666666666666665,0,0,0.16201821666327892
2622,12,8,3,4.0,0,0,0.46042063490088464
3543,22,19,6,3.6666666666666665,0,1,0.4990896538503999
2525,11,10,5,2.2,0,0,0.0997910279984887
1264,17,14,6,2.8333333333333335,0,0,0.43826665351707766
3601,8,8,4,2.0,0,0,0.08002299195184882
1771,6,6,3,2.0,0,0,0.11085834246465365
1122,6,6,3,2.0,0,0,0.13106817960635547
3507,18,15,7,2.5714285714285716,0,0,0.23004284030797942
4524,22,19,8,2.75,0,0,0.40682296568089704
3612,14,10,6,2.3333333333333335,0,0,0.34959952427462926
3262,16,14,4,4.0,0,0,0.3356269727991119
1897,8,8,4,2.0,0,0,0.09613868315176151
1656,12,12,4,3.0,0,0,0.19084369128496684
3953,9,9,4,2.25,0,0,0.07295823560965418
1488,8,8,4,2.0,0,0,0.3388613968468512
1652,12,12,5,2.4,0,0,0.13600956165888717
4953,16,16,4,4.0,1,1,0.5279953460414333
3445,6,5,3,2.0,0,0,0.16571490393200553
3180,36,24,10,3.6,1,1,0.8163417328107583
4934,8,7,4,2.0,0,0,0.15500030527519223
2980,7,6,3,2.3333333333333335,0,0,0.16426468672796957
2763,10,8,4,2.5,0,0,0.24810972135738432
4819,12,12,5,2.4,0,0,0.11963945459457141
1850,8,8,4,2.0,0,0,0.08134654933801028
4285,8,8,4,2.0,0,0,0.21894267354248376
4366,2,2,1,2.0,0,0,0.2211173225478523
2253,6,6,3,2.0,0,0,0.1015955608474201
3398,11,9,4,2.75,0,0,0.13624248378648376
2215,14,13,7,2.0,0,0,0.22055352512344606
3737,33,24,11,3.0,1,1,0.7933999177728458
2649,9,8,4,2.25,0,0,0.19568991532864174
3203,12,10,5,2.4,0,0,0.10164780848824895
4261,12,12,5,2.4,0,0,0.1212480696426463
2435,12,9,5,2.4,0,0,0.09667230318666131
2046,5,4,2,2.5,0,0,0.316001227246459
4267,14,13,6,2.3333333333333335,0,0,0.19340226822476858
1086,14,12,5,2.8,0,0,0.07576286550628133
1992,8,6,3,2.6666666666666665,0,0,0.23674795747173505
3622,10,9,5,2.0,0,0,0.18836656464627488
4700,16,13,6,2.6666666666666665,0,0,0.4010157765022089
2272,13,11,6,2.1666666666666665,0,0,0.3419140178507653
2519,14,14,6,2.3333333333333335,0,0,0.21451665254753136
2639,8,8,3,2.6666666666666665,0,0,0.12319272905907337
1466,23,20,9,2.5555555555555554,1,1,0.6330814442028562
4122,9,9,4,2.25,0,0,0.13065599590637492
3598,4,4,2,2.0,0,0,0.25673409574162576
3097,2,2,1,2.0,0,0,0.2211173225478523
1873,6,5,3,2.0,0,0,0.4372314831484266
1537,5,4,2,2.5,0,0,0.2984951126300484
3960,23,17,7,3.2857142857142856,0,0,0.3561476736949369
1136,19,14,9,2.111111111111111,0,0,0.3949480923008279
2453,15,14,6,2.5,0,0,0.17441435805134145
1746,10,9,5,2.0,0,0,0.12568208896610597
3246,22,16,8,2.75,0,0,0.34782771163037046
3207,15,14,4,3.75,0,0,0.3625422497259738
1042,6,6,3,2.0,0,0,0.09968650447209197
1176,14,11,6,2.3333333333333335,0,0,0.1673749213243926
3054,18,16,7,2.5714285714285716,0,0,0.18324208230770522
4486,26,19,6,4.333333333333333,1,1,0.7305485369264617
1580,16,12,7,2.2857142857142856,0,0,0.1749136774165491
1623,12,11,5,2.4,0,0,0.29126179430326354
4169,15,13,6,2.5,0,0,0.14980618338128096
2254,12,12,5,2.4,0,0,0.12199719672116288
4095,6,5,3,2.0,0,0,0.19413089527611258
3242,8,7,3,2.6666666666666665,0,0,0.0661509393400407
2227,5,5,2,2.5,0,0,0.3894136593724607
3847,11,11,5,2.2,0,0,0.16207646602862197
1799,9,8,4,2.25,0,0,0.08745869231229098
2920,11,11,5,2.2,0,0,0.13348708014157848
3713,8,7,4,2.0,0,0,0.08102061172603227
4230,9,8,4,2.25,0,0,0.0877286454720977
1455,2,2,1,2.0,0,0,0.2211173225478523
3687,19,16,5,3.8,0,0,0.4153058194514539
3869,8,8,3,2.6666666666666665,0,0,0.08851172506633746
2988,2,2,1,2.0,0,0,0.2211173225478523
4242,7,6,3,2.3333333333333335,0,0,0.28202509809065085
4118,2,2,1,2.0,0,0,0.2211173225478523
4996,10,10,3,3.3333333333333335,0,0,0.19442672267418673
4489,8,6,3,2.6666666666666665,0,0,0.17534458566013034
4108,14,14,5,2.8,0,0,0.19134397915584134
3484,23,20,10,2.3,1,0,0.4927155459864864
1239,16,15,7,2.2857142857142856,0,0,0.2745002294299879
4839,8,8,4,2.0,0,0,0.15201112653314092
4748,12,11,5,2.4,0,0,0.06983033901804225
4426,15,13,7,2.142857142857143,0,0,0.18264625145364866
3571,14,14,6,2.3333333333333335,0,0,0.280512172398148
2852,2,2,1,2.0,0,0,0.2211173225478523
3638,4,4,2,2.0,0,0,0.1793355137490665
2723,10,9,4,2.5,0,0,0.016294346178206083
2813,16,12,5,3.2,0,0,0.21757072591553592
2799,21,18,8,2.625,0,0,0.4298869969964092
4723,6,6,3,2.0,0,0,0.09921610391788722
3313,6,6,3,2.0,0,0,0.17248203978797494
2991,12,10,5,2.4,0,0,0.05993711643074423
1483,20,17,8,2.5,0,0,0.48693922069592416
3950,15,12,5,3.0,0,0,0.10474356694856264
1634,19,15,6,3.1666666666666665,0,0,0.2776986260328809
2694,19,13,6,3.1666666666666665,0,0,0.4479579896606653
2707,17,15,7,2.4285714285714284,0,0,0.2626036774441655
2276,7,6,3,2.3333333333333335,0,0,0.18753539401463235
4726,8,6,4,2.0,0,0,0.3088735859071223
4353,17,15,6,2.8333333333333335,0,0,0.16699503028276044
4017,8,6,4,2.0,0,0,0.1297024662488834
1422,19,16,7,2.7142857142857144,0,0,0.30989827793114183
2714,2,2,1,2.0,0,0,0.3964455624045606
2769,12,11,5,2.4,0,0,0.06118091432485034
3614,10,8,5,2.0,0,0,0.13907355705710414
4361,8,8,4,2.0,0,0,0.07620865527742621
1922,19,17,9,2.111111111111111,0,0,0.38150725541381036
4728,10,10,4,2.5,0,0,0.19378527850961483
3646,9,9,4,2.25,0,0,0.10195201780659861
1155,8,7,3,2.6666666666666665,0,0,0.08017745938958287
2119,8,8,3,2.6666666666666665,0,0,0.052919503792599264
1602,14,12,7,2.0,0,0,0.22852510001843743
1074,10,10,5,2.0,0,0,0.19545085102892953
2256,9,8,4,2.25,0,0,0.07495431567311903
1348,6,6,2,3.0,0,0,0.24851606145286506
3806,7,6,2,3.5,0,0,0.3725527981592937
